phone	x	y	direction
AH	0.33	0	1
N	0.66	0	1
R	0.33	1	1
T	0.66	1	1
IH	0.33	0	2
S	0.66	0	2
D	0.33	1	2
L	1	1	2
IY	0	0	1
K	1	0	1
DH	0.66	0.25	1
EY	0.66	0.5	1
M	0.66	0.75	1
Z	1	1	1
P	0	1	1
AE	0.33	0.75	1
V	0.33	0.5	1
W	0.33	0.25	1
UW	0	0	2
B	1	0	2
EH	0.66	0.25	2
F	0.66	0.5	2
AY	0.66	0.75	2
SPACE	0.66	1	2
HH	0	1	2
OY	0.33	0.75	2
AA	0.33	0.5	2
NG	0.33	0.25	2
SH	0	0.25	1
ER	1	0.25	1
AO	0	0.5	1
Y	1	0.5	1
G	0	0.75	1
JH	0	0.75	1
CH	0	0.25	2
AW	1	0.25	2
UH	0	0.5	2
TH	1	0.5	2
OW	0	0.75	2
ZH	1	0.75	2
